Company_name,Description
TCS,IT Services & Consulting 
Accenture,IT Services & Consulting 
Cognizant,IT Services & Consulting 
Wipro,IT Services & Consulting 
Capgemini,IT Services & Consulting 
HDFC Bank,Banking 
ICICI Bank,Banking 
Infosys,IT Services & Consulting 
HCLTech,IT Services & Consulting 
Tech Mahindra,IT Services & Consulting 
Genpact,IT Services & Consulting 
Axis Bank,Banking 
Teleperformance,BPO 
Concentrix Corporation,BPO 
Jio,Telecom 
Amazon,Internet 
IBM,IT Services & Consulting 
Reliance Retail,Retail 
HDB Financial Services,NBFC 
Larsen & Toubro Limited,Engineering & Construction 
Vodafone Idea,Telecom 
BYJU'S,EdTech 
Kotak Mahindra Bank,Banking 
Deloitte,Management Consulting 
Reliance Industries,Oil & Gas 
iEnergizer,BPO 
Bharti Airtel,Telecom 
Tata Motors,Automobile 
WNS,BPO 
Flipkart,Internet 
IndusInd Bank,Banking 
Ernst & Young,Management Consulting 
AU Small Finance Bank,Banking 
Mahindra & Mahindra,Automobile 
Infosys BPM,BPO 
DXC Technology,IT Services & Consulting 
IDFC FIRST Bank,Banking 
Conneqt Business Solutions,BPO 
LTIMindtree,IT Services & Consulting 
HDFC Life,Insurance 
Bajaj Finserv,Financial Services 
Mphasis,IT Services & Consulting 
PwC,Management Consulting 
HSBC Group,Banking 
Startek,BPO 
Hinduja Global Solutions,IT Services & Consulting 
Samsung,Consumer Electronics & Appliances 
Ericsson,Telecom 
Maruti Suzuki,Automobile 
Shriram Finance,NBFC 
Asian Paints,Chemicals 
Yes Bank,Banking 
Cipla Pharmaceutical,Pharma 
Sutherland Global Services,IT Services & Consulting 
Dr. Reddy's,Pharma 
Bandhan Bank,Banking 
UltraTech Cement,Building Material 
Paytm,FinTech 
EXL Service,Analytics & KPO 
NTT DATA,IT Services & Consulting 
ICICI Prudential Life Insurance,Insurance 
Jana Small Finance Bank,Banking 
Bajaj Finance,NBFC 
Lupin,Pharma 
Indian Army,Defence & Aerospace 
HCL Group,IT Services & Consulting 
L&T Infotech,IT Services & Consulting 
TATA Steel,Iron & Steel 
Quess,BPO 
Wells Fargo,Financial Services 
Zydus Lifesciences,Pharma 
Amazon Development Centre India,Internet 
Delhivery,Logistics 
L&T Construction,Engineering & Construction 
JP Morgan Chase,Financial Services 
Sun Pharmaceutical Industries,Pharma 
Hindustan Unilever,FMCG 
FIS,FinTech 
Udaan,Internet 
ITC,FMCG 
IIFL Finance,NBFC 
Hexaware Technologies,IT Services & Consulting 
JSW Steel,Iron & Steel 
Ujjivan Small Finance Bank,Banking 
Muthoot Finance,NBFC 
Max Life Insurance,Insurance 
Aurobindo Pharma,Pharma 
KPMG India,Management Consulting 
Shapoorji Pallonji Group,Engineering & Construction 
Tata Projects,Engineering & Construction 
Home Credit Finance,Financial Services 
Oracle,Software Product 
eClerx,IT Services & Consulting 
Apollo Hospitals,Healthcare 
Ashok Leyland,Automobile 
Siemens,Industrial Automation 
JLL,Real Estate 
Omega Healthcare,Healthcare 
Megha Engineering & Infrastructures,Engineering & Construction 
Vivo,Consumer Electronics & Appliances 
JustDial,Internet 
First Source,BPO 
OPPO,Consumer Electronics & Appliances 
Bajaj Allianz Life Insurance,Insurance 
Hero MotoCorp,Automobile 
Mahindra & Mahindra Financial Services,NBFC 
D Mart,Retail 
Cyient,IT Services & Consulting 
Coforge,IT Services & Consulting 
BigBasket,Internet 
ICICI Lombard General Insurance Company,Insurance 
Indiamart Intermesh,Internet 
CGI Group,IT Services & Consulting 
Virtusa Consulting Services,IT Services & Consulting 
Equitas Small Finance Bank,Banking 
TVS Motor,Automobile 
GlobalLogic,IT Services & Consulting 
Manappuram Finance,NBFC 
UST,IT Services & Consulting 
Hewlett-Packard Enterprise,IT Services & Consulting 
SBI Cards & Payment Services,Financial Services 
Nagarro,IT Services & Consulting 
Atos Syntel,IT Services & Consulting 
Bosch Global Software Technologies,IT Services & Consulting 
IQVIA,Clinical Research 
Ekart Logistics,Logistics 
Cholamandalam Investment & Finance,NBFC 
Bosch,Auto Components 
Reliance Communications,Telecom 
SMFG India Credit,NBFC 
BNY Mellon,Investment Banking / Venture Capital / Private Equity 
Schneider Electric,Industrial Automation 
L&T Technology Services,IT Services & Consulting 
Hyundai Motor,Automobile 
Amdocs,Software Product 
Oyo Rooms,Hospitality 
CBRE,Real Estate 
State Bank of India,Banking 
JBM Group,Auto Components 
Swiggy,Internet 
BT Group,Telecom 
Ecom Express,Logistics 
SBI Life Insurance Company,Insurance 
Dell,Consumer Electronics & Appliances 
Nagarjuna Construction Company,Engineering & Construction 
Bajaj Auto,Automobile 
Optum,Healthcare 
Future Group,Retail 
KEC International,Engineering & Construction 
Piramal Capital Housing Finance,NBFC 
Aditya Birla Fashion and Retail,Fashion & Textile 
Muthoot Fincorp,NBFC 
Royal Enfield,Automobile 
L&T Finance,NBFC 
Viatris,Pharma 
Tata Communications,Telecom 
Samvardhana Motherson Group,Auto Components 
LG Electronics,Consumer Electronics & Appliances 
Intas Pharmaceuticals,Pharma 
Kogta Financial India Limited,NBFC 
Varun Beverages,Beverage 
John Deere,Industrial Machinery 
Godrej & Boyce Manufacturing,Engineering & Construction 
Persistent Systems,IT Services & Consulting 
Randstad,Recruitment 
Thermax Limited,Industrial Machinery 
Hetero Drugs,Pharma 
Havells,Electrical Equipment 
Deutsche Bank,Banking 
Macleods Pharmaceuticals,Pharma 
CARS24,Internet 
Team Lease,Recruitment 
Subros,Auto Components 
Sodexo,Facility Management Services 
Abbott Healthcare,Pharma 
Whitehat jr,EdTech 
VE Commercial Vehicles,Automobile 
Ford Motor,Automobile 
Indian Oil Corporation,Oil & Gas 
Tata Capital,NBFC 
Automatic Data Processing (ADP),Software Product 
Bharat Electronics,Electronics Manufacturing 
Cummins,Industrial Machinery 
Alembic Pharmaceuticals,Pharma 
Standard Chartered Bank,Banking 
American Express,Financial Services 
Access Healthcare,IT Services & Consulting 
R1 RCM,Healthcare 
Pidilite Industries,Chemicals 
UnitedHealth,Healthcare 
ITC Infotech,IT Services & Consulting 
Tata AIA Life Insurance,Insurance 
Hindalco Industries,Metals & Mining 
Alkem Laboratories,Pharma 
Publicis Sapient,IT Services & Consulting 
Atos,IT Services & Consulting 
Aakash Educational Services,EdTech 
DCB Bank,Banking 
Hindustan Coca Cola Beverages,Beverage 
Indian Air Force,Defence & Aerospace 
Vishal Mega Mart,Retail 
Utkarsh Small Finance Bank,Banking 
Glenmark Pharmaceuticals,Pharma 
Barclays,Banking 
Berger Paints,Chemicals 
Ipca Laboratories,Pharma 
Maersk,Logistics 
Jindal Steel and Power,Iron & Steel 
Bank of America,Banking 
ABB Group,Industrial Automation 
DTDC Express,Logistics 
Aarti Industries,Agro Chemicals 
Wipro Infotech,IT Services & Consulting 
Marpu Foundation,Non-Profit 
24/7 Customer,BPO 
Honda Motorcycle & Scooter,Automobile 
NatWest Group,Banking 
HDFC Ergo General Insurance,Insurance 
Johnson Controls,Industrial Automation 
CMS IT Services,IT Services & Consulting 
Carelon Global Solutions,IT Services & Consulting 
PolicyBazaar,Internet 
RBL Bank,Banking 
Reliance Nippon Life Insurance,Insurance 
MRF Tyres,Auto Components 
Cogent E Services,BPO 
PNB MetLife,Insurance 
Paras Hospital,Healthcare 
Wipro Consumer Care & Lighting,FMCG 
Reliance Digital,Retail 
GeBBS Healthcare Solutions,BPO 
Escorts Kubota Limited,Automobile 
Ceat Tyres,Auto Components 
Jubilant Foods Works,Hospitality 
Kotak Mahindara Life Insurance,Insurance 
Axis Direct,Financial Services 
Dabur,FMCG 
Conduent,BPO 
JK Cement,Building Material 
IndiGo,Aviation 
Shoppers Stop,Retail 
Synechron,IT Services & Consulting 
ACC,Building Material 
Birlasoft,IT Services & Consulting 
HARMAN,Consumer Electronics & Appliances 
Indiabulls Home Loans,NBFC 
GATI-KWE,Logistics 
ArcelorMittal Nippon Steel,Iron & Steel 
Reliance SMSL,BPO 
Lenskart,Internet 
PepsiCo,Food Processing 
KPIT Technologies,Software Product 
UPL,Agro Chemicals 
S&P Global,Analytics & KPO 
Torrent Pharmaceuticals,Pharma 
Dilip Buildcon,Engineering & Construction 
Titan Company,Retail 
Square Yards,Internet 
RSPL Group,FMCG 
TVS Credit,NBFC 
Tata AIG,Insurance 
Tech Mahindra Business Services,BPO 
Wipro Enterprises Ltd,IT Services & Consulting 
Bajaj Electricals,Consumer Electronics & Appliances 
Statestreet HCL Services,BPO 
IGT Solutions,BPO 
Alstom Transportation,Engineering & Construction 
EY Global Delivery Services ( EY GDS),Accounting & Auditing 
Birla Sun Life Insurance,Insurance 
IDFC FIRST Bharat,NBFC 
AFCONS Infrastructure,Engineering & Construction 
Simplex Infrastructures,Engineering & Construction 
Apollo Tyres,Auto Components 
Mankind Pharma,Pharma 
Domino's Pizza,Hospitality 
Suzlon Group,Power 
Zensar Technologies,IT Services & Consulting 
Flex,Electronics Manufacturing 
Capita,IT Services & Consulting 
Huawei Technologies,Telecom 
KocharTech,IT Services & Consulting 
Max Healthcare,Healthcare 
State Street Corporation,Financial Services 
McDonald's,Hospitality 
Tata Technologies,Engineering & Construction 
Bajaj Allianz General Insurance,Insurance 
Taj Hotels Resorts and Palaces,Hospitality 
ElasticRun,Logistics 
I Process Services,Recruitment 
HDFC Sales,Financial Services 
Grasim Industries,Building Material 
Croma,Retail 
Landmark Group,Retail 
Nestle,Food Processing 
Lava International,Consumer Electronics & Appliances 
Walmart,Retail 
UNO Minda,Auto Components 
AGS Health,BPO 
Patanjali Ayurved,FMCG 
Nokia,Telecom 
Tractors and Farm Equipment,Industrial Machinery 
Blue Dart Express,Logistics 
Capgemini Engineering,10k-50k Employees 
G4S,Law Enforcement & Security 
State Street Syntel,Financial Services 
